title,description,type,price,bedrooms,bathrooms,area,parking
"26 Mid Street Portland, OR 38540",,luxury condo,"500,000",3,2,300,2
"26 Old Street Miami, OR 12870",,luxury villa,"5,500,000",8,8,550,8
"34 Beach Street Miami, OR 42680",,luxury villa,"3,000,000",6,4,400,5
"22 Mid Street Los Angeles, CA 3854",,luxury condo,"500,000",3,2,300,2
"23 Old Street Palo Alto, CA 12870",,luxury villa,"5,500,000",8,8,550,8
"34 Beach Street Palo Alto, CA  42680",,luxury villa,"3,000,000",6,4,400,5
"22 Mid Street Los Angeles, FL 3854",,luxury condo,"500,000",3,2,300,2
"23 Old Street Palo Alto, FL 12870",,luxury villa,"5,500,000",8,8,550,8
"34 Beach Street Palo Alto, FL   42680",,luxury villa,"3,000,000",6,4,400,5
"34 Beach Street  Los Angeles, TX 42680",,luxury villa,"3,000,000",6,4,350,5
"12 Mid Street Palmdale, TX  3854",,luxury condo,"500,000",3,2,300,2
"4 Old Street Santa Monica, TX  12870",,luxury villa,"5,500,000",4,4,550,3
"10 Beach Street Palo Alto, TX    42680",,luxury villa,"3,000,000",6,4,600,3
